task_display,task,strategy,factor,bin,n,micro_f1,macro_f1,micro_p,micro_r
forecast,forecast_next,text_plus_all_affective,distance_bin,high,6056,0.6987554679317356,0.6824636404496994,0.6025501394607518,0.8315187506873419
forecast,forecast_next,text_plus_all_affective,distance_bin,low,6072,0.3804791218571534,0.3287038185265505,0.2426985428625497,0.880132677570628
forecast,forecast_next,text_plus_all_affective,distance_bin,medium,6088,0.6622868709046622,0.6374405907035767,0.5407865986890021,0.8542035398230089
transition,change_subset,text_only,length_bin,short,4286,0.7313381334682892,0.7135059551979643,0.6187380794830875,0.8940382452193476
transition,change_subset,text_only,length_bin,medium,4582,0.7259363716001112,0.7089905438768267,0.6112770321327048,0.8935409215232485
transition,change_subset,text_only,length_bin,long,3944,0.7166029809955209,0.6968594695026279,0.5968972640276549,0.8963661686502912
transition,change_subset,text_only,transition_bin,low,5340,0.71224700615985,0.6898489889303259,0.5900662461567721,0.8982388419782871
transition,change_subset,text_only,transition_bin,high,7472,0.733439116580879,0.7177050709157708,0.6226617601962589,0.8921633242318677
transition,change_subset,text_only,distance_bin,high,4250,0.7431497968709482,0.7302279680377219,0.6391718087874507,0.8875296789511716
transition,change_subset,text_only,distance_bin,low,4302,0.6902291122218557,0.644496925750872,0.5572078161484577,0.9066791094520732
transition,change_subset,text_only,distance_bin,medium,4260,0.7367466328057685,0.7207522964307893,0.627500965623793,0.8920491983307709
transition,change_subset,text_plus_vadlex_emoflow,length_bin,short,4286,0.7325324495995581,0.71493715197473,0.619936117170458,0.8951068616422947
transition,change_subset,text_plus_vadlex_emoflow,length_bin,medium,4582,0.7263519313304722,0.7090316590752321,0.6134551254168479,0.8901746265516516
transition,change_subset,text_plus_vadlex_emoflow,length_bin,long,3944,0.7167043175876335,0.6965099507949001,0.5981949917376382,0.8937705748290706
transition,change_subset,text_plus_vadlex_emoflow,transition_bin,low,5340,0.7126516198372486,0.6899043979595413,0.5916695879409797,0.8958262967430639
transition,change_subset,text_plus_vadlex_emoflow,transition_bin,high,7472,0.7341392462344043,0.7182692436073432,0.624224968119256,0.8910334871167185
transition,change_subset,text_plus_vadlex_emoflow,distance_bin,high,4250,0.7434841059889847,0.7301753009652886,0.6410409811546515,0.8848972850211624
transition,change_subset,text_plus_vadlex_emoflow,distance_bin,low,4302,0.6904562206125302,0.6444600270066931,0.5579838146489751,0.9054126116517798
transition,change_subset,text_plus_vadlex_emoflow,distance_bin,medium,4260,0.7379620788432684,0.7219311194651251,0.6297043532241794,0.8911706567098616
transition,change_subset,text_plus_vadbert_global,length_bin,short,4286,0.7317230422068203,0.7139686123938436,0.6194783422355647,0.893644544431946
transition,change_subset,text_plus_vadbert_global,length_bin,medium,4582,0.7260963643764595,0.7092701923436485,0.6125429242725465,0.891331790448138
transition,change_subset,text_plus_vadbert_global,length_bin,long,3944,0.7167299417868894,0.6971933517342314,0.5970734587163701,0.8963661686502912
transition,change_subset,text_plus_vadbert_global,transition_bin,low,5340,0.7132837651387398,0.6913228963581444,0.5915954098985982,0.8979975874547648
transition,change_subset,text_plus_vadbert_global,transition_bin,high,7472,0.7331077590660192,0.7173193405848586,0.6228576444512717,0.8907824122022409
transition,change_subset,text_plus_vadbert_global,distance_bin,high,4250,0.7424537698670478,0.7291593935342147,0.6395105938525814,0.8848972850211624
transition,change_subset,text_plus_vadbert_global,distance_bin,low,4302,0.6911398832190911,0.6468271072004387,0.5581433491881254,0.9073456872417012
transition,change_subset,text_plus_vadbert_global,distance_bin,medium,4260,0.7373535555353737,0.7216069801858274,0.6286001858160422,0.8916099275203163
transition,change_subset,text_plus_vadbert_emoflow,length_bin,short,4286,0.7328568134655292,0.7150479621938635,0.6210238374364986,0.8938132733408324
transition,change_subset,text_plus_vadbert_emoflow,length_bin,medium,4582,0.726360478579699,0.7090802753497155,0.613118077173677,0.8909110035766884
transition,change_subset,text_plus_vadbert_emoflow,length_bin,long,3944,0.7179239528263521,0.6976118064339607,0.5997536945812808,0.8940871106609268
transition,change_subset,text_plus_vadbert_emoflow,transition_bin,low,5340,0.7139096516342256,0.6910029092352228,0.5931732549971263,0.896357056694813
transition,change_subset,text_plus_vadbert_emoflow,transition_bin,high,7472,0.7340930551423508,0.7181867882177619,0.6243893852044184,0.890562721652073
transition,change_subset,text_plus_vadbert_emoflow,distance_bin,high,4250,0.7430319068173438,0.7298352134638977,0.6408021250327359,0.8840714359450811
transition,change_subset,text_plus_vadbert_emoflow,distance_bin,low,4302,0.6918905155951623,0.6454552955569719,0.5597577555308367,0.905679242767631
transition,change_subset,text_plus_vadbert_emoflow,distance_bin,medium,4260,0.7385273115932142,0.72262893312956,0.6303082058846363,0.8916099275203163
transition,change_subset,text_plus_all_affective,length_bin,short,4286,0.7328470533750144,0.7153547124118771,0.6228695138752214,0.8899887514060743
transition,change_subset,text_plus_all_affective,length_bin,medium,4582,0.7254006548337067,0.7081765486561298,0.6142565299868671,0.8856511676835682
transition,change_subset,text_plus_all_affective,length_bin,long,3944,0.7187220903825053,0.6989873545386616,0.6020176976018468,0.8915548240060774
transition,change_subset,text_plus_all_affective,transition_bin,low,5340,0.7135666763089384,0.6909680852055275,0.594314166398972,0.8926899879372738
transition,change_subset,text_plus_all_affective,transition_bin,high,7472,0.7341538541517747,0.7185116155874093,0.6265306122448979,0.8864199855631925
transition,change_subset,text_plus_all_affective,distance_bin,high,4250,0.7445497114232822,0.7316786862020751,0.6440224558230662,0.8822648910911531
transition,change_subset,text_plus_all_affective,distance_bin,low,4302,0.6910514999488072,0.6449523775765895,0.5609158148425164,0.8998133582189042
transition,change_subset,text_plus_all_affective,distance_bin,medium,4260,0.7373273992924797,0.7214002645484179,0.6309026285982111,0.8869426751592356
forecast-transition,forecast_change_subset,text_only,length_bin,short,4534,0.6901269226206951,0.6714466372754719,0.5480062794348509,0.9317745035233824
forecast-transition,forecast_change_subset,text_only,length_bin,medium,4135,0.7027236850617843,0.6872491859119558,0.5632064710152442,0.934124527003784
forecast-transition,forecast_change_subset,text_only,length_bin,long,4143,0.6811584449379725,0.6600963715394781,0.5390760927458013,0.9249421225782868
forecast-transition,forecast_change_subset,text_only,transition_bin,low,5340,0.6725744308231173,0.64864089523525,0.5278900343642612,0.9265138721351024
forecast-transition,forecast_change_subset,text_only,transition_bin,high,7472,0.7041809783252398,0.6893394508808333,0.565506876938003,0.9329629978344788
forecast-transition,forecast_change_subset,text_only,distance_bin,high,4250,0.7192165870761047,0.708103888894486,0.5898859692612791,0.9211830288014864
forecast-transition,forecast_change_subset,text_only,distance_bin,low,4302,0.6454755425461365,0.6007961363124532,0.491279980506144,0.9407412345020664
forecast-transition,forecast_change_subset,text_only,distance_bin,medium,4260,0.7045171468903098,0.6899840894244997,0.566388518024032,0.9317482978256096
forecast-transition,forecast_change_subset,text_plus_vadlex_emoflow,length_bin,short,4534,0.6890864680019541,0.6719514859358919,0.5434762506549949,0.941276959214179
forecast-transition,forecast_change_subset,text_plus_vadlex_emoflow,length_bin,medium,4135,0.7015847320439635,0.6870862450276857,0.5581576628482342,0.9442151129457632
forecast-transition,forecast_change_subset,text_plus_vadlex_emoflow,length_bin,long,4143,0.6804416263911675,0.6605192799741897,0.5348529206747525,0.9349335932740344
forecast-transition,forecast_change_subset,text_plus_vadlex_emoflow,transition_bin,low,5340,0.6708175513239593,0.6483297266591057,0.5228069229524991,0.935729794933655
forecast-transition,forecast_change_subset,text_plus_vadlex_emoflow,transition_bin,high,7472,0.7037583421145065,0.6899440197294182,0.5612639363549778,0.943225684963751
forecast-transition,forecast_change_subset,text_plus_vadlex_emoflow,distance_bin,high,4250,0.719971301592363,0.709866325228146,0.5864039216959387,0.9323319913285848
forecast-transition,forecast_change_subset,text_plus_vadlex_emoflow,distance_bin,low,4302,0.64197141182306,0.5995858351909233,0.485043608612701,0.9490067990934542
forecast-transition,forecast_change_subset,text_plus_vadlex_emoflow,distance_bin,medium,4260,0.7042178323545115,0.6905333795102304,0.5624548973299219,0.9415220733582254
forecast-transition,forecast_change_subset,text_plus_vadbert_global,length_bin,short,4534,0.6905625235292953,0.6714591549597729,0.549075211897785,0.9302797352124706
forecast-transition,forecast_change_subset,text_plus_vadbert_global,length_bin,medium,4135,0.7028146230993206,0.6870511403735049,0.5633233067109221,0.934124527003784
forecast-transition,forecast_change_subset,text_plus_vadbert_global,length_bin,long,4143,0.6795262874573839,0.6581520717170017,0.5377351792687256,0.9228707201169734
forecast-transition,forecast_change_subset,text_plus_vadbert_global,transition_bin,low,5340,0.672142056598487,0.6479277400077639,0.527529618736084,0.9259831121833534
forecast-transition,forecast_change_subset,text_plus_vadbert_global,transition_bin,high,7472,0.7039400336836112,0.6886899960941587,0.5657852090522583,0.931362395254684
forecast-transition,forecast_change_subset,text_plus_vadbert_global,distance_bin,high,4250,0.7169910255117475,0.7053926835066415,0.5883949554797921,0.9175183235263756
forecast-transition,forecast_change_subset,text_plus_vadbert_global,distance_bin,low,4302,0.6466117216117216,0.6017251413724021,0.4924332240742032,0.9413411545127316
forecast-transition,forecast_change_subset,text_plus_vadbert_global,distance_bin,medium,4260,0.7047951321828339,0.6900377693475481,0.5667479376106342,0.9317482978256096
forecast-transition,forecast_change_subset,text_plus_vadbert_emoflow,length_bin,short,4534,0.6891407649762405,0.6722794739389041,0.5424638214373314,0.9445334187486654
forecast-transition,forecast_change_subset,text_plus_vadbert_emoflow,length_bin,medium,4135,0.7014117397303895,0.6872061113608503,0.5569227657350908,0.9471390895539502
