task_display,task,strategy,seed,n_dev,n_test,include_current,val_micro_f1,val_macro_f1,test_micro_f1,test_macro_f1,test_micro_p,test_micro_r,model_path
transition,change_subset,text_only,42,13505,12812,True,0.7266364607507275,0.7117737704751166,0.7223371768343807,0.7044523366772015,0.6065103662080992,0.8928462767171218,finetuned_bert_tiny_change_subset_text_only_seed42.pt
transition,change_subset,text_only,73,13505,12812,True,0.7308459549316587,0.7154600857381481,0.7238703148717549,0.7050312391036195,0.6127812116978795,0.8841560812352628,finetuned_bert_tiny_change_subset_text_only_seed73.pt
transition,change_subset,text_only,105,13505,12812,True,0.7169466095802686,0.7003758842666963,0.7234841546070709,0.7063864692384922,0.6042994848778498,0.9012322202783906,finetuned_bert_tiny_change_subset_text_only_seed105.pt
transition,change_subset,text_plus_vadlex_emoflow,12,13505,12812,True,0.7194001874414245,0.7038287975393416,0.7232424699497737,0.704183784922211,0.6117453636722346,0.8844413174108161,finetuned_bert_tiny_change_subset_text_plus_vadlex_emoflow_seed12.pt
transition,change_subset,text_plus_vadlex_emoflow,24,13505,12812,True,0.7252099602180639,0.7086954243771757,0.723018242377265,0.7042212683123478,0.6061405427663326,0.8957366699627292,finetuned_bert_tiny_change_subset_text_plus_vadlex_emoflow_seed24.pt
transition,change_subset,text_plus_vadlex_emoflow,42,13505,12812,True,0.7263947700765173,0.7113613095420301,0.7224573099138712,0.7030012551647107,0.6168472044674695,0.8717007682360995,finetuned_bert_tiny_change_subset_text_plus_vadlex_emoflow_seed42.pt
transition,change_subset,text_plus_vadlex_emoflow,73,13505,12812,True,0.7286179343000888,0.7137518371363265,0.7218397900910635,0.7043138237372017,0.6074397339983375,0.889328363885297,finetuned_bert_tiny_change_subset_text_plus_vadlex_emoflow_seed73.pt
transition,change_subset,text_plus_vadlex_emoflow,105,13505,12812,True,0.7174499089253188,0.7010043628051347,0.7236439648944837,0.7056292335268061,0.6072303763510202,0.8952802920818438,finetuned_bert_tiny_change_subset_text_plus_vadlex_emoflow_seed105.pt
transition,change_subset,text_plus_vadbert_global,12,13505,12812,True,0.7200361827227499,0.7034539192997065,0.7239214575663174,0.7037344990208346,0.6173652855302705,0.8749334448923709,finetuned_bert_tiny_change_subset_text_plus_vadbert_global_seed12.pt
transition,change_subset,text_plus_vadbert_global,24,13505,12812,True,0.723898767800487,0.7078543697181372,0.7211738421219454,0.7028597507133117,0.6076076336872273,0.8869513957556857,finetuned_bert_tiny_change_subset_text_plus_vadbert_global_seed24.pt
transition,change_subset,text_plus_vadbert_global,42,13505,12812,True,0.7256366216115301,0.710797175067771,0.7224892328818426,0.7047111530364856,0.6125959248478433,0.8804289952080323,finetuned_bert_tiny_change_subset_text_plus_vadbert_global_seed42.pt
transition,change_subset,text_plus_vadbert_global,73,13505,12812,True,0.7302752293577982,0.715737773998508,0.724761333763778,0.7072633391852952,0.6082440975358019,0.8964972997642048,finetuned_bert_tiny_change_subset_text_plus_vadbert_global_seed73.pt
transition,change_subset,text_plus_vadbert_global,105,13505,12812,True,0.7158567125176932,0.6995932457100236,0.7216082374611227,0.7049067878654244,0.5983350025037556,0.9088575340381836,finetuned_bert_tiny_change_subset_text_plus_vadbert_global_seed105.pt
transition,change_subset,text_plus_vadbert_emoflow,12,13505,12812,True,0.7203540492491584,0.7036137621067087,0.7222187044893307,0.7013913556248895,0.6185801833071207,0.8675743515630943,finetuned_bert_tiny_change_subset_text_plus_vadbert_emoflow_seed12.pt
transition,change_subset,text_plus_vadbert_emoflow,24,13505,12812,True,0.7256669598358253,0.709638361151822,0.7234508396749253,0.7058721783808357,0.602664944079239,0.904788164600289,finetuned_bert_tiny_change_subset_text_plus_vadbert_emoflow_seed24.pt
transition,change_subset,text_plus_vadbert_emoflow,42,13505,12812,True,0.7272110893475968,0.7115946495109062,0.7238460083238744,0.7045475133582307,0.6181673757337498,0.8731079333688294,finetuned_bert_tiny_change_subset_text_plus_vadbert_emoflow_seed42.pt
