task_display,strategy,emotion,f1_mean,f1_std,delta_vs_text_f1_mean,delta_vs_text_f1_std
forecast-transition,text_plus_vadbert_emoflow,fear,0.6164596149467438,0.00163068542149,0.0017838911558075,0.0026293699539525
forecast-transition,text_plus_vadbert_emoflow,anger,0.5470230270653038,0.0048807913114496,0.0010197518763576,0.0080700338798872
forecast-transition,text_plus_vadbert_emoflow,disgust,0.5449645399818497,0.0020292163571221,0.000980644958526,0.0050387690358701
forecast-transition,text_plus_vadbert_emoflow,sadness,0.6165593700453004,0.0051510352156349,0.0005600391547731,0.0021039797002537
forecast-transition,text_plus_vadbert_emoflow,joy,0.715350811957693,0.004188926394574,0.0003190393255124,0.0017835131911314
forecast-transition,text_plus_vadbert_emoflow,trust,0.6786575059001327,0.0011605814839083,0.0002952354097633,0.0012938497293273
forecast-transition,text_plus_vadbert_emoflow,surprise,0.8030083617508291,0.0,0.0002081205302193,0.0003136699612868
forecast-transition,text_plus_vadbert_emoflow,anticipation,0.849400936402203,7.88750340817118e-05,-2.1995917002026743e-06,0.0001248996290556
forecast-transition,text_plus_vadbert_global,sadness,0.6171991790269418,0.0028573714212446,0.0011998481364144,0.0061671078804376
forecast-transition,text_plus_vadbert_global,fear,0.6147572183236616,0.0030646253174848,8.149453272532359e-05,0.0030058005404978
forecast-transition,text_plus_vadbert_global,surprise,0.8023069651528167,0.0011809053700657,-0.000493276067793,0.0012577914741311
forecast-transition,text_plus_vadbert_global,anticipation,0.8488762353092346,0.0006267640087877,-0.0005269006846686,0.0006716382925583
forecast-transition,text_plus_vadbert_global,trust,0.6777899240296563,0.0027073025080434,-0.000572346460713,0.0037665115526184
forecast-transition,text_plus_vadbert_global,disgust,0.5427552766658134,0.0032500966655501,-0.0012286183575102,0.0074440755641826
forecast-transition,text_plus_vadbert_global,joy,0.7137966371416977,0.003776641015382,-0.0012351354904828,0.0047275203165748
forecast-transition,text_plus_vadbert_global,anger,0.5412042548893883,0.0094200154410717,-0.0047990202995578,0.0135151770728487
forecast-transition,text_plus_vadlex_emoflow,sadness,0.617994347626802,0.0026344433870419,0.0019950167362748,0.0071563720031045
forecast-transition,text_plus_vadlex_emoflow,fear,0.6164623903018686,0.0017356277559108,0.0017866665109322,0.0038012973457111
forecast-transition,text_plus_vadlex_emoflow,anger,0.5462547810994779,0.0065713387105144,0.0002515059105316,0.0093436542711422
forecast-transition,text_plus_vadlex_emoflow,surprise,0.8029900850625931,4.086791729954721e-05,0.0001898438419831,0.0003310112028224
